"","Survey","Transect","Team","Species","ID","Distance","Detected","Beaufort","Glare","Subjective","Swell","TOD","Group.size","Group","W.R","W.L","y10","y01","y11"
"1","NES",3035411,"upper","PSDO",9411,184.7075,0,2.54,1.998,2.501,0.3,12.38,6,1,2000,0,0,1,0
"4","NES",3038262,"upper","ASDO",9858,883.7386,1,2.772,2.301,3,0.2,10.981,93,1,2000,0,1,0,0
"5","NES",3039461,"upper","ASDO",9875,897.6659,1,4.289,2.374,2.374,0.3,15.189,58,1,2000,0,0,0,1
"7","NES",3039000,"upper","ASDO",10141,101.0244,1,2.826,0,3,0.5,17.03,5,1,2000,0,0,0,1
"9","NES",3039241,"upper","ASDO",10144,17.36482,1,2.759,0,3,0.5,18.684,5,1,2000,0,0,0,1
"12","NES",3039726,"upper","ASDO",10156,350.87,1,2,0.215,3,0.5,21.289,37,1,2000,0,0,0,1
"14","NES",3039726,"upper","ASDO",10157,883.3142,0,2,0.215,3,0.5,21.338,33,1,2000,0,0,1,0
"16","NES",3039726,"upper","ASDO",10159,0,1,2,0.215,3,0.5,21.837,13,1,2000,0,0,0,1
"17","NES",3039967,"upper","ASDO",10163,490.007,1,1.647,1,3,0.5,22.639,18,1,2000,0,1,0,0
"19","NES",3040451,"upper","ASDO",10190,295.0587,1,0.601,1.159,3,0.3,12.888,44,1,2000,0,0,0,1
"21","NES",3041659,"upper","ASDO",10215,928.5762,1,2.518,3,3,0.5,21.564,19,1,2000,0,0,0,1
"23","NES",3041900,"upper","ASDO",10221,1273.925,1,2.5,3,3,0.5,22.6,8,1,2000,0,0,0,1
"25","NES",3040463,"upper","ASDO",10236,1376.336,1,2.7,2,3,0.3,14.075,49,1,2000,0,0,0,1
"28","NES",3042576,"upper","ASDO",10515,884.9115,1,1.833,3,3,0.1,11.816,6,1,2000,0,0,0,1
"30","NES",3044026,"upper","ASDO",10526,530.6144,1,0.684,3,3,0.1,10.074,15,1,2000,0,0,0,1
"31","NES",3044269,"upper","ASDO",10550,989.5671,1,2,1.762,3,0.5,13.41,13,1,2000,0,0,0,1
"34","NES",3039471,"upper","ASDO",10611,1209.907,1,2.178,0.541,3,0.5,14.809,29,1,2000,0,1,0,0
